n,divisors,L(n),Chord,Excess,is_prime
2,2,1.046103,1.046103,0.000000,1
3,2,2.069066,2.069066,0.000000,1
4,3,3.087496,3.083577,0.003918,0
5,2,4.093119,4.093119,0.000000,1
6,4,5.111516,5.098811,0.012705,0
7,2,6.101140,6.101140,0.000000,1
8,4,7.127847,7.100443,0.027404,0
9,3,8.125279,8.097054,0.028225,0
10,4,9.139078,9.091360,0.047718,0
11,2,10.083808,10.083808,0.000000,1
12,6,11.150947,11.074895,0.076052,0
13,2,12.065146,12.065146,0.000000,1
14,4,13.149583,13.055086,0.094497,0
15,4,14.136924,14.045217,0.091707,0
16,5,15.160898,15.035990,0.124908,0
17,2,16.027782,16.027782,0.000000,1
18,6,17.167167,17.020877,0.146289,0
19,2,18.015463,18.015463,0.000000,1
20,6,19.166897,19.011617,0.155279,0
21,4,20.133411,20.009317,0.124094,0
22,4,21.133868,21.008446,0.125422,0
23,2,22.008808,22.008808,0.000000,1
24,8,23.176738,23.010149,0.166590,0
25,3,24.094537,24.012175,0.082362,0
26,4,25.114623,25.014580,0.100043,0
27,4,26.128193,26.017063,0.111130,0
28,6,27.168389,27.019351,0.149038,0
29,2,28.021217,28.021217,0.000000,1
30,8,29.179297,29.022492,0.156805,0
31,2,30.023070,30.023070,0.000000,1
32,6,31.166614,31.022914,0.143700,0
33,4,32.125344,32.022052,0.103292,0
34,4,33.074291,33.020571,0.053719,0
35,4,34.121702,34.018603,0.103099,0
36,9,35.186843,35.016312,0.170531,0
37,2,36.013881,36.013881,0.000000,1
38,4,37.060169,37.011493,0.048676,0
39,4,38.121593,38.009317,0.112276,0
40,8,39.172148,39.007495,0.164653,0
41,2,40.006134,40.006134,0.000000,1
42,8,41.182288,41.005295,0.176992,0
43,2,42.004995,42.004995,0.000000,1
44,6,43.158776,43.005203,0.153573,0
45,6,44.171141,44.005851,0.165290,0
46,4,45.050823,45.006838,0.043984,0
47,2,46.008041,46.008041,0.000000,1
48,10,47.203592,47.009324,0.194267,0
49,3,48.101622,48.010556,0.091066,0
50,6,49.151315,49.011615,0.139700,0
51,4,50.098766,50.012402,0.086364,0
52,6,51.150636,51.012844,0.137792,0
53,2,52.012907,52.012907,0.000000,1
54,8,53.191632,53.012585,0.179046,0
55,4,54.135889,54.011911,0.123978,0
56,8,55.177931,55.010945,0.166986,0
57,4,56.084756,56.009770,0.074986,0
58,4,57.063528,57.008484,0.055044,0
59,2,58.007191,58.007191,0.000000,1
60,12,59.219576,59.005990,0.213586,0
61,2,60.004972,60.004972,0.000000,1
62,4,61.066259,61.004205,0.062054,0
63,6,62.155655,62.003736,0.151918,0
64,7,63.170843,63.003584,0.167260,0
65,4,64.139061,64.003738,0.135323,0
66,8,65.189338,65.004164,0.185174,0
67,2,66.004806,66.004806,0.000000,1
68,6,67.121384,67.005589,0.115794,0
69,4,68.072986,68.006433,0.066553,0
70,8,69.170417,69.007251,0.163166,0
71,2,70.007966,70.007966,0.000000,1
72,12,71.222416,71.008509,0.213906,0
73,2,72.008833,72.008833,0.000000,1
74,4,73.058824,73.008907,0.049918,0
75,6,74.160847,74.008726,0.152121,0
76,6,75.105919,75.008307,0.097612,0
